Region,EventType,Public automated,Public passive,Private,Farm
Newfoundland,Accidents,0,0,0,0
Newfoundland,Fatalities,0,0,0,0
Newfoundland,Serious injuries,0,0,0,0
Nova Scotia,Accidents,1,0,0,0
Nova Scotia,Fatalities,0,0,0,0
Nova Scotia,Serious injuries,0,0,0,0
New Brunswick,Accidents,0,0,0,0
New Brunswick,Fatalities,0,0,0,0
New Brunswick,Serious injuries,0,0,0,0
Quebec,Accidents,4,0,1,0
Quebec,Fatalities,1,0,0,0
Quebec,Serious injuries,0,0,0,0
Ontario,Accidents,7,0,2,0
Ontario,Fatalities,1,0,0,0
Ontario,Serious injuries,1,0,0,0
Manitoba,Accidents,1,3,0,2
Manitoba,Fatalities,0,1,0,0
Manitoba,Serious injuries,0,0,0,1
Saskatchewan,Accidents,1,3,0,0
Saskatchewan,Fatalities,0,0,0,0
Saskatchewan,Serious injuries,0,0,0,0
Alberta,Accidents,3,7,2,0
Alberta,Fatalities,0,0,0,0
Alberta,Serious injuries,0,1,2,0
British Columbia,Accidents,4,1,0,0
British Columbia,Fatalities,0,0,0,0
British Columbia,Serious injuries,3,0,0,0
Northwest Territories,Accidents,0,0,0,0
Northwest Territories,Fatalities,0,0,0,0
Northwest Territories,Serious injuries,0,0,0,0
